Date,v.speed,u.speed
1/6/1949,9.620001772,1.120001962
1/7/1949,11.17000174,-0.899997992
1/8/1949,6.490001842,-1.839997971
1/9/1949,7.650001816,2.370001934
1/10/1949,4.450001888,1.190001961
1/11/1949,-0.739997996,-3.719997929
1/12/1949,-1.159997987,-10.76999777
1/13/1949,2.720001927,-2.669997953
1/14/1949,5.370001867,7.590001818
1/15/1949,0.720001971,9.500001775
1/16/1949,-0.239998007,6.190001849
1/17/1949,2.700001927,-4.15999792
1/18/1949,12.12000172,-1.769997973
1/19/1949,3.120001918,7.000001831
1/20/1949,3.420001911,5.620001862
1/21/1949,10.94000174,-10.15999779
1/22/1949,1.820001947,2.850001924
1/23/1949,1.490001954,-1.169997986
1/24/1949,-11.58999775,-2.289997961
1/25/1949,-2.189997964,-5.239997895
1/26/1949,3.220001915,-3.219997941
1/27/1949,-7.819997838,2.970001921
1/28/1949,8.150001805,-1.069997989
1/29/1949,9.340001779,2.420001933
1/30/1949,9.070001785,1.540001953
1/31/1949,6.17000185,3.950001899
2/1/1949,0.950001966,-0.549998
2/2/1949,5.820001857,0.570001975
2/3/1949,6.260001848,3.090001918
2/4/1949,1.69000195,9.770001769
2/5/1949,-0.219998008,7.720001815
2/6/1949,3.850001901,-0.539998
2/7/1949,-6.289997872,-1.499997979
2/8/1949,-6.209997874,-6.479997868
2/9/1949,-6.36999787,1.540001953
2/10/1949,10.44000175,0.470001977
2/11/1949,9.910001766,1.600001952
2/12/1949,3.270001914,6.300001847
2/13/1949,2.000001943,8.85000179
2/14/1949,-3.489997935,3.520001909
2/15/1949,-10.53999778,0.530001976
2/16/1949,-4.58999791,-3.779997928
2/17/1949,6.320001846,-10.45999778
2/18/1949,8.020001808,-14.31999769
2/19/1949,6.420001844,-9.889997791
2/20/1949,1.22000196,-12.18999774
2/21/1949,-1.789997973,-6.009997878
2/22/1949,-1.169997986,0.420001978
2/23/1949,-3.819997927,-3.419997936
2/24/1949,-4.889997903,-3.539997933
2/25/1949,-1.189997986,-3.109997943
2/26/1949,-6.539997866,-3.23999794
2/27/1949,-2.839997949,1.340001957
2/28/1949,5.740001859,5.750001859
