Year,Age,Weight,Length,Sex,Maturity
2002,11,2.1,590,Female,2
2002,11,1.7,540,Male,1
2002,14,2.78,640,Female,6
2002,11,3.13,680,Female,5
2002,7,2.54,580,Male,3
2002,18,4.23,710,Male,3
2002,13,2.83,640,Male,6
2002,6,1.5,550,Female,2
2002,31,5.4,740,Female,3
2002,8,2.38,610,Male,2
2002,8,1.93,560,Female,3
2002,18,5.1,750,Female,3
2002,6,1.7,570,Female,2
2002,6,2.64,620,Female,2
2002,6,1.7,540,Female,2
2002,18,2.54,620,Male,6
2002,6,1.7,540,Female,2
2002,7,2.9,640,Female,3
2002,23,2.8,620,Male,3
2002,8,3.1,640,Female,3
2002,7,2.6,630,Female,2
2002,7,3,620,Male,6
2002,7,2.7,610,Female,2
2002,7,2.7,600,Male,6
2002,7,2.9,630,Male,3
2002,8,2.2,560,Male,3
2002,7,2.1,590,Male,3
2002,22,3.4,640,Male,6
2002,9,4.5,740,Female,3
2002,26,3.2,640,Male,3
2002,8,3.3,620,Female,3
2002,8,3.5,670,Female,6
2002,6,2.2,600,Female,2
2002,7,2.2,580,Female,2
2002,7,2.7,650,Female,6
2002,25,3.8,690,Male,3
2002,12,4.3,690,Female,3
2002,13,3.2,610,Male,6
2002,10,4.7,740,Female,3
2002,10,5.1,770,Female,3
2002,20,5.1,800,Male,3
2002,14,5,750,Female,3
2002,9,2.9,630,Male,6
2002,28,6.1,800,Female,3
2002,11,3.3,640,Male,3
2002,8,2.8,630,Female,2
2002,47,3.9,670,Male,3
2002,14,2.6,610,Male,3
2002,9,4.1,660,Female,2
2002,23,8.6,850,Male,3
2002,13,4.4,700,Male,6
2002,38,3.9,720,Male,3
2002,26,5.7,780,Male,6
2002,11,2.4,600,Male,3
2002,9,2.2,590,Female,2
2002,10,5,730,Female,3
2002,7,3.1,630,Male,3
2002,11,4.8,750,Female,3
2002,13,4.8,730,Female,3
2002,10,3,670,Female,2
2002,35,5.3,780,Female,3
2002,15,4.4,720,Female,3
2002,10,3.4,700,Male,3
2002,13,3.8,690,Male,3
2002,8,4.4,710,Female,3
2002,7,2.7,650,Female,2
2002,30,8.3,880,Male,3
2002,26,4.8,730,Male,3
2002,9,4.1,700,Female,3
2002,13,3.8,660,Female,2
2002,14,3.8,690,Female,2
2002,13,4.7,780,Female,6
2002,27,4.2,710,Male,3
2002,26,4.5,760,Male,3
2002,23,4,690,Male,3
2002,21,3.8,680,Male,6
2002,8,2.7,630,Female,2
2002,6,6.2,820,Female,3
2002,9,3.4,650,Male,3
2002,25,7,840,Female,3
2002,18,3.9,720,Female,3
2002,12,3.5,700,Female,3
2002,10,4.6,760,Female,3
2002,11,4.2,700,Female,3
2002,13,4.2,710,Female,3
2002,13,3,640,Male,3
2002,9,2.4,610,Female,3
2002,24,5.2,780,Female,3
2002,20,4.8,720,Female,3
2002,8,3.1,620,Male,3
2002,13,3.9,670,Female,3
2002,12,2.7,600,Male,1
2002,8,4.1,730,Male,6
2002,31,6.2,860,Female,6
2002,9,3.5,650,Male,9
2002,17,4.8,740,Female,3
2002,14,2.9,610,Female,2
2002,25,12.1,1050,Female,3
2002,26,3.1,660,Male,3
2002,32,4.1,710,Male,6
2002,9,3.2,640,Male,2
2002,40,5.1,760,Female,3
2002,23,2.7,640,Male,3
2002,9,4.6,720,Female,6
2002,13,2.9,640,Male,3
2002,20,2.7,630,Male,3
2002,13,5.6,770,Female,3
2002,21,3.4,650,Male,6
2002,12,2.1,560,Male,6
2002,28,6.5,840,Female,3
2002,9,4.3,720,Female,2
2002,10,4.3,720,Female,2
2002,11,3.2,680,Female,2
2002,51,7.4,870,Female,3
2002,9,3.7,660,Female,6
2002,11,2.4,590,Male,3
2002,23,3.9,680,Male,6
2002,30,3.9,690,Male,5
2002,43,6.9,820,Female,6
2002,32,3.8,730,Female,5
2002,15,2.4,590,Male,6
2002,9,4.2,690,Female,5
2002,11,4.3,700,Female,3
2002,6,3.2,640,Male,2
2002,17,4.6,730,Female,6
2002,13,3.9,730,Female,3
2002,9,3.1,660,Female,2
2002,11,3.5,690,Female,2
2002,42,4,680,Male,3
2002,34,3.2,660,Female,3
2002,13,2.9,620,Female,2
2002,13,2.9,640,Male,2
2002,9,2.3,580,Male,2
2002,20,4.5,790,Female,5
2002,68,3.9,680,Female,6
2002,37,3.6,700,Male,6
2002,24,3.65,650,Male,3
2002,5,3.36,650,Female,3
2002,5,1.95,560,Male,3
2002,9,3.89,700,Female,3
2002,5,3.12,670,Female,3
2002,5,2.78,610,Female,3
2002,4,4.2,710,Female,3
2002,21,7.61,890,Female,3
2002,23,4.78,750,Female,3
2002,18,4.42,750,Female,5
2002,37,4.9,750,Male,3
2002,6,1.12,500,Male,1
2002,21,3.99,700,Male,3
2002,5,2.03,580,Female,1
2002,5,1.62,540,Male,2
2002,5,2.63,620,Female,2
2002,7,2.85,620,Male,1
2002,5,2.21,610,Female,1
2002,38,4.2,710,Male,6
2002,7,1.4,520,Female,1
2002,24,5.79,770,Female,3
2002,5,2.48,610,Female,3
2002,9,2.21,590,Male,3
2002,6,1.93,560,Female,1
2002,5,2.43,600,Male,3
2002,25,3.76,690,Male,3
2002,10,2.61,630,Female,1
2002,7,2.07,570,Male,1
2002,8,2.67,610,Male,3
2002,8,2.84,650,Female,2
2002,6,2.46,610,Female,1
2002,4,1.56,530,Male,1
2002,5,3.46,660,Female,3
2002,5,2.6,610,Male,3
2002,26,6.03,840,Female,3
2002,6,2.9,640,Male,3
2002,6,1.93,570,Male,2
2002,6,2.16,570,Male,2
2002,6,1.67,560,Male,2
2002,9,4.38,720,Male,3
2002,7,2.06,590,Male,2
2002,32,5.37,750,Female,3
2002,6,2.16,600,Female,2
2002,8,3.82,710,Female,3
2002,18,5.84,810,Female,3
2002,5,3.59,660,Female,2
2002,6,2.42,620,Male,2
2002,2,1.41,530,Female,2
2002,4,2.54,630,Female,1
2002,5,2.68,620,Male,3
2002,25,5.66,790,Female,3
2002,9,2.25,600,Male,2
2002,18,4.58,740,Male,3
2002,5,1.39,530,Female,2
2002,9,1.44,510,Male,1
2002,17,6.32,820,Female,3
2002,24,7,850,Female,3
2002,8,2.14,560,Male,2
2002,21,2.52,630,Male,6
2002,6,2.76,630,Female,2
2002,32,4,740,Male,6
2002,8,2.41,600,Male,3
2002,6,4.09,730,Male,6
2002,29,3.81,680,Female,2
2002,6,2.21,600,Male,1
2002,8,3.19,670,Female,3
2002,14,3.93,750,Female,3
2002,8,3.44,690,Female,3
