Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
EBS_SHELF,2018,-722,-18139,201801,94,212,61.34021,-175.69731,61.33975,-175.64556,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,95,98,94,0,10115,Greenland turbot,Reinhardtius hippoglossoides,330,Female,262,4,,,,6,1,3,16-Oct-20
EBS_SHELF,2016,-707,-15653,201601,162,156,61.66783,-176.49527,61.6666,-176.443,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,104,106,30,0,10115,Greenland turbot,Reinhardtius hippoglossoides,610,Male,2116,9,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15653,201601,162,156,61.66783,-176.49527,61.6666,-176.443,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,104,106,38,0,10115,Greenland turbot,Reinhardtius hippoglossoides,290,Female,194,3,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15653,201601,162,156,61.66783,-176.49527,61.6666,-176.443,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,104,106,41,0,10115,Greenland turbot,Reinhardtius hippoglossoides,340,Female,296,3,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15653,201601,162,156,61.66783,-176.49527,61.6666,-176.443,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,104,106,49,0,10115,Greenland turbot,Reinhardtius hippoglossoides,280,Female,155,3,,,,6,1,3,16-Oct-20
EBS_SHELF,2016,-707,-15756,201601,162,165,61.33178,-176.29919,61.33034,-176.3513,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,105,107,74,0,10115,Greenland turbot,Reinhardtius hippoglossoides,560,Female,1540,8,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15756,201601,162,165,61.33178,-176.29919,61.33034,-176.3513,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,105,107,76,0,10115,Greenland turbot,Reinhardtius hippoglossoides,360,Female,375,3,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15757,201601,162,166,61.3335,-176.93591,61.32784,-176.9855,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,114,116,95,0,10115,Greenland turbot,Reinhardtius hippoglossoides,670,Male,2810,9,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15757,201601,162,166,61.3335,-176.93591,61.32784,-176.9855,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,114,116,106,0,10115,Greenland turbot,Reinhardtius hippoglossoides,620,Female,2225,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15758,201601,162,167,61.00264,-176.9596,60.99473,-177.00677,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,119,121,116,0,10115,Greenland turbot,Reinhardtius hippoglossoides,630,Female,2525,8,,,,6,1,8,16-Oct-20
